bookId;genres
72579;historical-fiction&fiction&mystery&historical&canada&classics&literary-fiction&crime&literature&novels
72159;plays&classics&drama&fiction&theatre&american&20th-century&literature&school&southern
72003;plays&drama&lgbt&fiction&queer&theatre&classics&gay&school&fantasy
71728;fiction&classics&philosophy&fantasy&spirituality&inspirational&self-help&literature&novels&animals
70561;history&non-fiction&classics&russia&politics&biography&russian-literature&literature&memoir&philosophy
70401;classics&fiction&travel&literature&novels&american&adventure&modern-classics&20th-century&the-united-states-of-america
68811;fantasy&fiction&classics&childrens&german-literature&young-adult&middle-grade&novels&literature&adventure
68783;non-fiction&memoir&psychology&mental-health&biography&mental-illness&classics&biography-memoir&autobiography&contemporary
65605;fantasy&classics&fiction&young-adult&childrens&middle-grade&adventure&christian&audiobook&christian-fiction
64216;fantasy&fiction&humor&comedy&dragons&science-fiction-fantasy&audiobook&magic&high-fantasy&novels
63913;fiction&poetry&short-stories&classics&novels&american&literature&humor&20th-century&the-united-states-of-america
63697;non-fiction&psychology&science&medicine&neuroscience&medical&short-stories&mental-health&essays&health
63033;fiction&novels&spanish-literature&latin-american&literature&literary-fiction&contemporary&latin-american-literature&20th-century&unfinished
61975;fantasy&science-fiction&dragons&fiction&science-fiction-fantasy&young-adult&high-fantasy&time-travel&adventure&romance
61666;science-fiction&fiction&classics&science-fiction-fantasy&space&novels&fantasy&audiobook&aliens&astronomy
61539;science&philosophy&non-fiction&history&sociology&history-of-science&classics&physics&academic&theory
61535;science&non-fiction&biology&evolution&philosophy&psychology&popular-science&genetics&audiobook&history
60931;historical-fiction&fiction&science-fiction&fantasy&time-travel&classics&historical&audiobook&race&african-american
59960;comics&graphic-novels&batman&fiction&comic-book&graphic-novels-comics&dc-comics&superheroes&fantasy&crime
59716;classics&fiction&literature&novels&feminism&20th-century&british-literature&literary-fiction&school&modern-classics
59219;horror&fantasy&fiction&thriller&adventure&mystery&supernatural&audiobook&paranormal&science-fiction
57913;fiction&science-fiction&fantasy&humor&philosophy&conspiracy-theories&novels&occult&science-fiction-fantasy&politics
